id,timestamp,market_ticker,platform,market_type,event_slug,direction,entry_price,size,model_probability,market_price_at_entry,edge_at_entry,settled,settlement_time,settlement_value,result,pnl
283,2026-04-29 13:22:39,2105552,polymarket,btc,btc-updown-5m-1777469100,down,0.495000,75.000000,0.423359,0.505000,0.081641,True,2026-04-29 13:34:37,0.000000,win,37.880000
284,2026-04-29 13:22:39,2105568,polymarket,btc,btc-updown-5m-1777469400,down,0.495000,75.000000,0.423359,0.505000,0.081641,True,2026-04-29 13:40:37,0.000000,win,37.880000
285,2026-04-29 13:26:38,2105893,polymarket,btc,btc-updown-5m-1777469700,down,0.495000,75.000000,0.406413,0.505000,0.098587,True,2026-04-29 13:46:37,1.000000,loss,-37.120000
286,2026-04-29 13:30:38,2105901,polymarket,btc,btc-updown-5m-1777470000,down,0.495000,75.000000,0.409349,0.505000,0.095651,True,2026-04-29 13:50:37,0.000000,win,37.880000
287,2026-04-29 13:35:38,2105907,polymarket,btc,btc-updown-5m-1777470300,down,0.495000,75.000000,0.413091,0.505000,0.091909,True,2026-04-29 13:56:37,1.000000,loss,-37.120000
288,2026-04-29 13:40:38,2105926,polymarket,btc,btc-updown-5m-1777470600,down,0.495000,75.000000,0.424845,0.505000,0.080155,True,2026-04-29 14:00:37,1.000000,loss,-37.120000
289,2026-04-29 13:45:38,2105943,polymarket,btc,btc-updown-5m-1777470900,down,0.495000,75.000000,0.414055,0.505000,0.090945,True,2026-04-29 14:06:37,0.000000,win,37.880000
290,2026-04-29 13:53:38,2105953,polymarket,btc,btc-updown-5m-1777471200,up,0.505000,75.000000,0.602042,0.505000,0.097042,True,2026-04-29 14:10:37,0.000000,loss,-37.880000
291,2026-04-29 13:53:38,2105972,polymarket,btc,btc-updown-5m-1777471500,up,0.505000,75.000000,0.602042,0.505000,0.097042,True,2026-04-29 14:16:37,0.000000,loss,-37.880000
292,2026-04-29 14:02:39,2105983,polymarket,btc,btc-updown-5m-1777471800,down,0.495000,75.000000,0.412069,0.505000,0.092931,True,2026-04-29 14:20:37,0.000000,win,37.880000
293,2026-04-29 14:05:38,2105999,polymarket,btc,btc-updown-5m-1777472100,down,0.495000,75.000000,0.398878,0.505000,0.106122,True,2026-04-29 14:28:37,1.000000,loss,-37.120000
294,2026-04-29 14:10:38,2106011,polymarket,btc,btc-updown-5m-1777472400,down,0.495000,75.000000,0.422320,0.505000,0.082680,True,2026-04-29 14:30:37,1.000000,loss,-37.120000
295,2026-04-29 14:15:38,2106176,polymarket,btc,btc-updown-5m-1777472700,down,0.495000,75.000000,0.404134,0.505000,0.100866,True,2026-04-29 14:38:37,1.000000,loss,-37.120000
